"Collected","Badge","Card","Booster Only","Badge Section","Effects","Wiki URL","Image URL"
"","Peaceful Badge","Green Mushroom Familiar","FALSE","Does Not Require Booster Packs","DEX: +2","https://maplestorywiki.net/w/Green_Mushroom#Henesys","https://media.maplestorywiki.net/yetidb/Use_Green_Mushroom_Familiar.png"
"","Peaceful Badge","Cynical Orange Mushroom Familiar","FALSE","Does Not Require Booster Packs","DEX: +2","https://maplestorywiki.net/w/Cynical_Orange_Mushroom#Henesys","https://media.maplestorywiki.net/yetidb/Use_Cynical_Orange_Mushroom_Familiar.png"
"","Peaceful Badge","Horny Mushroom Familiar","FALSE","Does Not Require Booster Packs","DEX: +2","https://maplestorywiki.net/w/Horny_Mushroom#Henesys","https://media.maplestorywiki.net/yetidb/Use_Horny_Mushroom_Familiar.png"
"","Peaceful Badge","Blue Mushroom Familiar","FALSE","Does Not Require Booster Packs","DEX: +2","https://maplestorywiki.net/w/Blue_Mushroom#Henesys","https://media.maplestorywiki.net/yetidb/Use_Blue_Mushroom_Familiar.png"
"","Peaceful Badge","Crying Blue Mushroom Familiar","FALSE","Does Not Require Booster Packs","DEX: +2","https://maplestorywiki.net/w/Crying_Blue_Mushroom#Henesys","https://media.maplestorywiki.net/yetidb/Use_Crying_Blue_Mushroom_Familiar.png"
"","Peaceful Badge","Stone Golem Familiar","FALSE","Does Not Require Booster Packs","DEX: +2","https://maplestorywiki.net/w/Stone_Golem#Henesys","https://media.maplestorywiki.net/yetidb/Use_Stone_Golem_Familiar.png"
"","Peaceful Badge","Dark Stone Golem Familiar","FALSE","Does Not Require Booster Packs","DEX: +2","https://maplestorywiki.net/w/Dark_Stone_Golem#Henesys","https://media.maplestorywiki.net/yetidb/Use_Dark_Stone_Golem_Familiar.png"
"","Peaceful Badge","Mixed Golem Familiar","FALSE","Does Not Require Booster Packs","DEX: +2","https://maplestorywiki.net/w/Mixed_Golem#Henesys","https://media.maplestorywiki.net/yetidb/Use_Mixed_Golem_Familiar.png"
"","Peaceful Badge","Mushmom Familiar","FALSE","Does Not Require Booster Packs","DEX: +2","https://maplestorywiki.net/w/Mushmom#Henesys","https://media.maplestorywiki.net/yetidb/Use_Mushmom_Familiar.png"
"","Peaceful Badge","Blue Mushmom Familiar","FALSE","Does Not Require Booster Packs","DEX: +2","https://maplestorywiki.net/w/Blue_Mushmom#Henesys","https://media.maplestorywiki.net/yetidb/Use_Blue_Mushmom_Familiar.png"
"","Peaceful Badge","Zombie Mushroom Familiar","FALSE","Does Not Require Booster Packs","DEX: +2","https://maplestorywiki.net/w/Zombie_Mushroom#Sleepywood","https://media.maplestorywiki.net/yetidb/Use_Zombie_Mushroom_Familiar.png"
"","Peaceful Badge","Annoyed Zombie Mushroom Familiar","FALSE","Does Not Require Booster Packs","DEX: +2","https://maplestorywiki.net/w/Annoyed_Zombie_Mushroom#Sleepywood","https://media.maplestorywiki.net/yetidb/Use_Annoyed_Zombie_Mushroom_Familiar.png"
"","Peaceful Badge","Zombie Mushmom Familiar","FALSE","Does Not Require Booster Packs","DEX: +2","https://maplestorywiki.net/w/Zombie_Mushmom#Sleepywood","https://media.maplestorywiki.net/yetidb/Use_Zombie_Mushmom_Familiar.png"
"","Rebel Badge","Potted Sprout Familiar","FALSE","Does Not Require Booster Packs","Critical Rate: +1%","https://maplestorywiki.net/w/Potted_Sprout#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Potted_Sprout_Familiar.png"
"","Rebel Badge","Potted Morning Glory Familiar","FALSE","Does Not Require Booster Packs","Critical Rate: +1%","https://maplestorywiki.net/w/Potted_Morning_Glory#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Potted_Morning_Glory_Familiar.png"
"","Rebel Badge","Grape Juice Bottle Familiar","FALSE","Does Not Require Booster Packs","Critical Rate: +1%","https://maplestorywiki.net/w/Grape_Juice_Bottle#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Grape_Juice_Bottle_Familiar.png"
"","Rebel Badge","Patrol Robot Familiar","FALSE","Does Not Require Booster Packs","Critical Rate: +1%","https://maplestorywiki.net/w/Patrol_Robot#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Patrol_Robot_Familiar.png"
"","Rebel Badge","Strange Sign Familiar","FALSE","Does Not Require Booster Packs","Critical Rate: +1%","https://maplestorywiki.net/w/Strange_Sign#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Strange_Sign_Familiar.png"
"","Rebel Badge","Serpent Familiar","FALSE","Does Not Require Booster Packs","Critical Rate: +1%","https://maplestorywiki.net/w/Serpent#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Serpent_Familiar.png"
"","Rebel Badge","Water Thief Monster Familiar","FALSE","Does Not Require Booster Packs","Critical Rate: +1%","https://maplestorywiki.net/w/Water_Thief_Monster#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Water_Thief_Monster_Familiar.png"
"","Rebel Badge","Dust Box Familiar","FALSE","Does Not Require Booster Packs","Critical Rate: +1%","https://maplestorywiki.net/w/Dust_Box#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Dust_Box_Familiar.png"
"","Rebel Badge","Streetlight Familiar","FALSE","Does Not Require Booster Packs","Critical Rate: +1%","https://maplestorywiki.net/w/Streetlight#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Streetlight_Familiar.png"
"","Rebel Badge","Patrol Robot S Familiar","FALSE","Does Not Require Booster Packs","Critical Rate: +1%","https://maplestorywiki.net/w/Patrol_Robot_S#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Patrol_Robot_S_Familiar.png"
"","Rebel Badge","Safety First Familiar","FALSE","Does Not Require Booster Packs","Critical Rate: +1%","https://maplestorywiki.net/w/Safety_First#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Safety_First_Familiar.png"
"","Rebel Badge","Baby Boulder Muncher Familiar","FALSE","Does Not Require Booster Packs","Critical Rate: +1%","https://maplestorywiki.net/w/Baby_Boulder_Muncher#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Baby_Boulder_Muncher_Familiar.png"
"","Rebel Badge","Big Boulder Muncher Familiar","FALSE","Does Not Require Booster Packs","Critical Rate: +1%","https://maplestorywiki.net/w/Big_Boulder_Muncher#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Big_Boulder_Muncher_Familiar.png"
"","Mineral Badge","Guard Robot Familiar","FALSE","Does Not Require Booster Packs","Defense: +5; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Guard_Robot#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Guard_Robot_Familiar.png"
"","Mineral Badge","Racoco Familiar","FALSE","Does Not Require Booster Packs","Defense: +5; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Racoco#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Racoco_Familiar.png"
"","Mineral Badge","Big Spider Familiar","FALSE","Does Not Require Booster Packs","Defense: +5; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Big_Spider#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Big_Spider_Familiar.png"
"","Mineral Badge","Cart Bear Familiar","FALSE","Does Not Require Booster Packs","Defense: +5; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Cart_Bear#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Cart_Bear_Familiar.png"
"","Mineral Badge","Racaroni Familiar","FALSE","Does Not Require Booster Packs","Defense: +5; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Racaroni#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Racaroni_Familiar.png"
"","Mineral Badge","Raco Familiar","FALSE","Does Not Require Booster Packs","Defense: +5; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Raco#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Raco_Familiar.png"
"","Mineral Badge","Guard Robot L Familiar","FALSE","Does Not Require Booster Packs","Defense: +5; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Guard_Robot_L#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Guard_Robot_L_Familiar.png"
"","Mineral Badge","Security System Familiar","FALSE","Does Not Require Booster Packs","Defense: +5; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Security_System#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Security_System_Familiar.png"
"","Mineral Badge","Enhanced Security System Familiar","FALSE","Does Not Require Booster Packs","Defense: +5; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Enhanced_Security_System#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Enhanced_Security_System_Familiar.png"
"","Mineral Badge","AF Android Familiar","FALSE","Does Not Require Booster Packs","Defense: +5; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/AF_Android#Edelstein","https://media.maplestorywiki.net/yetidb/Use_AF_Android_Familiar.png"
"","Mineral Badge","Broken DF Android Familiar","FALSE","Does Not Require Booster Packs","Defense: +5; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Broken_DF_Android#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Broken_DF_Android_Familiar.png"
"","Mineral Badge","Ore Muncher Familiar","FALSE","Does Not Require Booster Packs","Defense: +5; Ignored Enemy Defense: +3%","https://maplestorywiki.net/w/Ore_Muncher#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Ore_Muncher_Familiar.png"
"","Sandy Badge","White Hare Familiar","FALSE","Does Not Require Booster Packs","Damage: +1%; Defense: +5","https://maplestorywiki.net/w/White_Hare#Ariant","https://media.maplestorywiki.net/yetidb/Use_White_Hare_Familiar.png"
"","Sandy Badge","White Hare Familiar","FALSE","Does Not Require Booster Packs","Damage: +1%; Defense: +5","https://maplestorywiki.net/w/Brown_Hare#Ariant","https://media.maplestorywiki.net/yetidb/Use_White_Hare_Familiar.png"
"","Sandy Badge","Jr. Cactus Familiar","FALSE","Does Not Require Booster Packs","Damage: +1%; Defense: +5","https://maplestorywiki.net/w/Jr._Cactus#Ariant","https://media.maplestorywiki.net/yetidb/Use_Jr._Cactus_Familiar.png"
"","Sandy Badge","Cactus Familiar","FALSE","Does Not Require Booster Packs","Damage: +1%; Defense: +5","https://maplestorywiki.net/w/Cactus#Ariant","https://media.maplestorywiki.net/yetidb/Use_Cactus_Familiar.png"
"","Sandy Badge","Royal Cactus Familiar","FALSE","Does Not Require Booster Packs","Damage: +1%; Defense: +5","https://maplestorywiki.net/w/Royal_Cactus#Ariant","https://media.maplestorywiki.net/yetidb/Use_Royal_Cactus_Familiar.png"
"","Sandy Badge","Bellamoa Familiar","FALSE","Does Not Require Booster Packs","Damage: +1%; Defense: +5","https://maplestorywiki.net/w/Bellamoa#Ariant","https://media.maplestorywiki.net/yetidb/Use_Bellamoa_Familiar.png"
"","Sandy Badge","Ear Plug Plead Familiar","FALSE","Does Not Require Booster Packs","Damage: +1%; Defense: +5","https://maplestorywiki.net/w/Ear_Plug_Plead#Ariant","https://media.maplestorywiki.net/yetidb/Use_Ear_Plug_Plead_Familiar.png"
"","Sandy Badge","Scarf Plead Familiar","FALSE","Does Not Require Booster Packs","Damage: +1%; Defense: +5","https://maplestorywiki.net/w/Scarf_Plead#Ariant","https://media.maplestorywiki.net/yetidb/Use_Scarf_Plead_Familiar.png"
"","Sandy Badge","Meerkat Familiar","FALSE","Does Not Require Booster Packs","Damage: +1%; Defense: +5","https://maplestorywiki.net/w/Meerkat#Sunset_Road","https://media.maplestorywiki.net/yetidb/Use_Meerkat_Familiar.png"
"","Sandy Badge","Kiyo Familiar","FALSE","Does Not Require Booster Packs","Damage: +1%; Defense: +5","https://maplestorywiki.net/w/Kiyo#Sunset_Road","https://media.maplestorywiki.net/yetidb/Use_Kiyo_Familiar.png"
"","Sandy Badge","Scorpion Familiar","FALSE","Does Not Require Booster Packs","Damage: +1%; Defense: +5","https://maplestorywiki.net/w/Scorpion#Sunset_Road","https://media.maplestorywiki.net/yetidb/Use_Scorpion_Familiar.png"
"","Sandy Badge","Sand Dwarf Familiar","FALSE","Does Not Require Booster Packs","Damage: +1%; Defense: +5","https://maplestorywiki.net/w/Sand_Dwarf#Sunset_Road","https://media.maplestorywiki.net/yetidb/Use_Sand_Dwarf_Familiar.png"
"","Sandy Badge","Dark Sand Dwarf Familiar","FALSE","Does Not Require Booster Packs","Damage: +1%; Defense: +5","https://maplestorywiki.net/w/Dark_Sand_Dwarf#Sunset_Road","https://media.maplestorywiki.net/yetidb/Use_Dark_Sand_Dwarf_Familiar.png"
"","Sandy Badge","Desert Giant Familiar","FALSE","Does Not Require Booster Packs","Damage: +1%; Defense: +5","https://maplestorywiki.net/w/Desert_Giant#Sunset_Road","https://media.maplestorywiki.net/yetidb/Use_Desert_Giant_Familiar.png"
"","Sandy Badge","Deo Familiar","FALSE","Does Not Require Booster Packs","Damage: +1%; Defense: +5","https://maplestorywiki.net/w/Deo#Ariant","https://media.maplestorywiki.net/yetidb/Use_Deo_Familiar.png"
"","Clockwork Badge","[*]Buffy Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Buffy#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Buffy_Familiar.png"
"","Clockwork Badge","[*]Lazy Buffy Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Lazy_Buffy#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Lazy_Buffy_Familiar.png"
"","Clockwork Badge","[*]Soul Teddy Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Soul_Teddy#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Soul_Teddy_Familiar.png"
"","Clockwork Badge","[*]Master Soul Teddy Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Master_Soul_Teddy#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Master_Soul_Teddy_Familiar.png"
"","Clockwork Badge","[*]Buffoon Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Buffoon#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Buffoon_Familiar.png"
"","Clockwork Badge","[*]Deep Buffoon Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Deep_Buffoon#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Deep_Buffoon_Familiar.png"
"","Clockwork Badge","[*]Klock Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Klock#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Klock_Familiar.png"
"","Clockwork Badge","[*]Dark Klock Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Dark_Klock#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Dark_Klock_Familiar.png"
"","Clockwork Badge","[*]Ghost Pirate Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Ghost_Pirate#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Ghost_Pirate_Familiar.png"
"","Clockwork Badge","[*]Dual Ghost Pirate Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Dual_Ghost_Pirate#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Dual_Ghost_Pirate_Familiar.png"
"","Clockwork Badge","[*]Death Teddy Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Death_Teddy#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Death_Teddy_Familiar.png"
"","Clockwork Badge","[*]Master Death Teddy Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Master_Death_Teddy#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Master_Death_Teddy_Familiar.png"
"","Clockwork Badge","[*]Spirit Viking Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Spirit_Viking#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Spirit_Viking_Familiar.png"
"","Clockwork Badge","[*]Gigantic Spirit Viking Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Gigantic_Spirit_Viking#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Gigantic_Spirit_Viking_Familiar.png"
"","Clockwork Badge","[*]Phantom Watch Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Phantom_Watch#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Phantom_Watch_Familiar.png"
"","Clockwork Badge","[*]Grim Phantom Watch Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Grim_Phantom_Watch#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Grim_Phantom_Watch_Familiar.png"
"","Clockwork Badge","[*]Gatekeeper Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Gatekeeper#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Gatekeeper_Familiar.png"
"","Clockwork Badge","[*]Thanatos Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Thanatos#Star_Force","https://media.maplestorywiki.net/yetidb/Use_Thanatos_Familiar.png"
"","Clockwork Badge","Papulatus Familiar","FALSE","Does Not Require Booster Packs","Max HP: +1%; Defense: +5","https://maplestorywiki.net/w/Papulatus#Easy","https://media.maplestorywiki.net/yetidb/Use_Papulatus_Familiar.png"
"","Wave Badge","Pinboom Familiar","FALSE","Does Not Require Booster Packs","Magic Attack: +1%; Defense: +10","https://maplestorywiki.net/w/Pinboom#Aquarium","https://media.maplestorywiki.net/yetidb/Use_Pinboom_Familiar.png"
